id,pattern,direction,entry_price,tp_price,sl_price,result,pnl_points,profit_currency
1,dragonfly_doji,BUY,4261.91,4263.41,4259.91,SL,-200.0,-8.0
2,gravestone_doji,SELL,4257.59,4256.09,4259.59,TP,150.0,6.0
3,dragonfly_doji,BUY,4247.51,4249.01,4245.51,TP,150.0,6.0
4,gravestone_doji,SELL,4275.28,4273.78,4277.28,SL,-200.0,-8.0
5,gravestone_doji,SELL,4286.24,4284.74,4288.24,SL,-200.0,-8.0
6,gravestone_doji,SELL,4292.28,4290.78,4294.28,TP,150.0,6.0
7,dragonfly_doji,BUY,4267.43,4268.93,4265.43,SL,-200.0,-8.0
8,dragonfly_doji,BUY,4266.57,4268.07,4264.57,SL,-200.0,-8.0
9,dragonfly_doji,BUY,4265.84,4267.34,4263.84,SL,-200.0,-8.0
10,gravestone_doji,SELL,4263.03,4261.53,4265.03,SL,-200.0,-8.0
11,dragonfly_doji,BUY,4255.38,4256.88,4253.38,TP,150.0,6.0
12,dragonfly_doji,BUY,4261.72,4263.22,4259.72,TP,150.0,6.0
13,dragonfly_doji,BUY,4263.03,4264.53,4261.03,TP,150.0,6.0
14,dragonfly_doji,BUY,4258.23,4259.73,4256.23,SL,-200.0,-8.0
15,gravestone_doji,SELL,4273.53,4272.03,4275.53,SL,-200.0,-8.0
16,gravestone_doji,SELL,4277.25,4275.75,4279.25,SL,-200.0,-8.0
17,dragonfly_doji,BUY,4268.37,4269.87,4266.37,TP,150.0,6.0
18,dragonfly_doji,BUY,4265.8,4267.3,4263.8,SL,-200.0,-8.0
19,dragonfly_doji,BUY,4241.27,4242.77,4239.27,TP,150.0,6.0
20,gravestone_doji,SELL,4241.95,4240.45,4243.95,SL,-200.0,-8.0
21,gravestone_doji,SELL,4240.71,4239.21,4242.71,TP,150.0,6.0
22,gravestone_doji,SELL,4246.48,4244.98,4248.48,TP,150.0,6.0
23,dragonfly_doji,BUY,4247.46,4248.96,4245.46,TP,150.0,6.0
24,gravestone_doji,SELL,4246.72,4245.22,4248.72,SL,-200.0,-8.0
25,dragonfly_doji,BUY,4247.55,4249.05,4245.55,TP,150.0,6.0
26,gravestone_doji,SELL,4248.77,4247.27,4250.77,TP,150.0,6.0
27,gravestone_doji,SELL,4237.88,4236.38,4239.88,SL,-200.0,-8.0
28,dragonfly_doji,BUY,4240.36,4241.86,4238.36,TP,150.0,6.0
29,gravestone_doji,SELL,4242.34,4240.84,4244.34,TP,150.0,6.0
30,dragonfly_doji,BUY,4251.8,4253.3,4249.8,SL,-200.0,-8.0
31,gravestone_doji,SELL,4238.38,4236.88,4240.38,TP,150.0,6.0
32,gravestone_doji,SELL,4241.8,4240.3,4243.8,SL,-200.0,-8.0
33,dragonfly_doji,BUY,4255.17,4256.67,4253.17,TP,150.0,6.0
34,gravestone_doji,SELL,4259.5,4258.0,4261.5,TP,150.0,6.0
35,gravestone_doji,SELL,4260.57,4259.07,4262.57,TP,150.0,6.0
36,gravestone_doji,SELL,4264.99,4263.49,4266.99,TP,150.0,6.0
37,dragonfly_doji,BUY,4265.8,4267.3,4263.8,TP,150.0,6.0
38,gravestone_doji,SELL,4266.86,4265.36,4268.86,TP,150.0,6.0
39,dragonfly_doji,BUY,4266.64,4268.14,4264.64,SL,-200.0,-8.0
40,dragonfly_doji,BUY,4293.38,4294.88,4291.38,SL,-200.0,-8.0
41,gravestone_doji,SELL,4293.62,4292.12,4295.62,TP,150.0,6.0
42,dragonfly_doji,BUY,4291.72,4293.22,4289.72,TP,150.0,6.0
43,gravestone_doji,SELL,4303.93,4302.43,4305.93,SL,-200.0,-8.0
44,dragonfly_doji,BUY,4356.38,4357.88,4354.38,TP,150.0,6.0
45,dragonfly_doji,BUY,4366.91,4368.41,4364.91,TP,150.0,6.0
46,dragonfly_doji,BUY,4350.2,4351.7,4348.2,SL,-200.0,-8.0
47,gravestone_doji,SELL,4350.3,4348.8,4352.3,TP,150.0,6.0
48,gravestone_doji,SELL,4354.6,4353.1,4356.6,SL,-200.0,-8.0
49,dragonfly_doji,BUY,4334.03,4335.53,4332.03,SL,-200.0,-8.0
50,gravestone_doji,SELL,4345.72,4344.22,4347.72,SL,-200.0,-8.0
51,dragonfly_doji,BUY,4338.92,4340.42,4336.92,SL,-200.0,-8.0
52,gravestone_doji,SELL,4336.44,4334.94,4338.44,SL,-200.0,-8.0
53,dragonfly_doji,BUY,4340.48,4341.98,4338.48,TP,150.0,6.0
