id,direction,entry_price,tp_price,sl_price,result,pnl_points,profit_currency
1,buy,4259.39,4260.89,4257.39,tp,150.0,6.0
2,sell,4262.29,4260.79,4264.29,tp,150.0,6.0
3,buy,4263.08,4264.58,4261.08,sl,-200.0,-8.0
4,buy,4261.7,4263.2,4259.7,sl,-200.0,-8.0
5,sell,4260.12,4258.62,4262.12,sl,-200.0,-8.0
6,buy,4258.23,4259.73,4256.23,sl,-200.0,-8.0
7,sell,4256.98,4255.48,4258.98,tp,150.0,6.0
8,sell,4254.67,4253.17,4256.67,tp,150.0,6.0
9,buy,4252.53,4254.03,4250.53,tp,150.0,6.0
10,sell,4252.98,4251.48,4254.98,tp,150.0,6.0
11,sell,4253.0,4251.5,4255.0,tp,150.0,6.0
12,sell,4250.24,4248.74,4252.24,tp,150.0,6.0
13,buy,4250.47,4251.97,4248.47,tp,150.0,6.0
14,sell,4251.84,4250.34,4253.84,tp,150.0,6.0
15,buy,4253.02,4254.52,4251.02,sl,-200.0,-8.0
16,buy,4249.31,4250.81,4247.31,sl,-200.0,-8.0
17,sell,4247.94,4246.44,4249.94,tp,150.0,6.0
18,sell,4248.24,4246.74,4250.24,tp,150.0,6.0
19,sell,4247.7,4246.2,4249.7,sl,-200.0,-8.0
20,buy,4248.13,4249.63,4246.13,tp,150.0,6.0
21,sell,4247.61,4246.11,4249.61,tp,150.0,6.0
22,sell,4245.44,4243.94,4247.44,sl,-200.0,-8.0
23,buy,4246.78,4248.28,4244.78,tp,150.0,6.0
24,sell,4246.41,4244.91,4248.41,sl,-200.0,-8.0
25,sell,4246.14,4244.64,4248.14,sl,-200.0,-8.0
26,buy,4247.27,4248.77,4245.27,tp,150.0,6.0
27,buy,4245.72,4247.22,4243.72,sl,-200.0,-8.0
28,sell,4245.17,4243.67,4247.17,sl,-200.0,-8.0
29,sell,4244.21,4242.71,4246.21,sl,-200.0,-8.0
30,buy,4244.66,4246.16,4242.66,tp,150.0,6.0
31,buy,4247.68,4249.18,4245.68,tp,150.0,6.0
32,sell,4246.84,4245.34,4248.84,sl,-200.0,-8.0
33,sell,4247.83,4246.33,4249.83,sl,-200.0,-8.0
34,sell,4247.72,4246.22,4249.72,sl,-200.0,-8.0
35,buy,4248.49,4249.99,4246.49,tp,150.0,6.0
36,sell,4247.58,4246.08,4249.58,sl,-200.0,-8.0
37,buy,4247.98,4249.48,4245.98,tp,150.0,6.0
38,buy,4249.72,4251.22,4247.72,sl,-200.0,-8.0
39,buy,4249.3,4250.8,4247.3,tp,150.0,6.0
40,buy,4248.77,4250.27,4246.77,tp,150.0,6.0
41,sell,4248.46,4246.96,4250.46,sl,-200.0,-8.0
42,buy,4249.16,4250.66,4247.16,tp,150.0,6.0
43,buy,4249.16,4250.66,4247.16,tp,150.0,6.0
44,buy,4251.87,4253.37,4249.87,tp,150.0,6.0
45,buy,4258.87,4260.37,4256.87,tp,150.0,6.0
46,buy,4262.07,4263.57,4260.07,tp,150.0,6.0
47,buy,4262.95,4264.45,4260.95,tp,150.0,6.0
48,sell,4262.96,4261.46,4264.96,tp,150.0,6.0
49,buy,4265.06,4266.56,4263.06,tp,150.0,6.0
50,buy,4279.87,4281.37,4277.87,sl,-200.0,-8.0
51,buy,4281.21,4282.71,4279.21,sl,-200.0,-8.0
52,sell,4277.97,4276.47,4279.97,tp,150.0,6.0
53,buy,4274.7,4276.2,4272.7,tp,150.0,6.0
54,sell,4274.77,4273.27,4276.77,sl,-200.0,-8.0
55,buy,4279.24,4280.74,4277.24,sl,-200.0,-8.0
56,sell,4273.08,4271.58,4275.08,sl,-200.0,-8.0
57,sell,4281.8,4280.3,4283.8,tp,150.0,6.0
58,sell,4285.64,4284.14,4287.64,sl,-200.0,-8.0
59,buy,4288.16,4289.66,4286.16,tp,150.0,6.0
60,buy,4293.24,4294.74,4291.24,tp,150.0,6.0
61,sell,4295.78,4294.28,4297.78,tp,150.0,6.0
62,buy,4284.68,4286.18,4282.68,tp,150.0,6.0
63,buy,4286.48,4287.98,4284.48,sl,-200.0,-8.0
64,buy,4285.27,4286.77,4283.27,sl,-200.0,-8.0
65,sell,4280.9,4279.4,4282.9,tp,150.0,6.0
66,buy,4284.25,4285.75,4282.25,sl,-200.0,-8.0
67,sell,4282.32,4280.82,4284.32,sl,-200.0,-8.0
68,buy,4285.65,4287.15,4283.65,tp,150.0,6.0
69,sell,4288.91,4287.41,4290.91,sl,-200.0,-8.0
70,buy,4288.56,4290.06,4286.56,tp,150.0,6.0
71,sell,4287.6,4286.1,4289.6,tp,150.0,6.0
72,buy,4288.34,4289.84,4286.34,tp,150.0,6.0
73,sell,4299.37,4297.87,4301.37,sl,-200.0,-8.0
74,buy,4297.28,4298.78,4295.28,tp,150.0,6.0
75,sell,4293.86,4292.36,4295.86,tp,150.0,6.0
76,sell,4283.4,4281.9,4285.4,sl,-200.0,-8.0
77,buy,4286.59,4288.09,4284.59,tp,150.0,6.0
78,sell,4281.7,4280.2,4283.7,sl,-200.0,-8.0
