id,pattern,direction,entry_price,tp_price,sl_price,result,pnl_points,profit_currency
1,dragonfly_doji,BUY,4247.55,4249.05,4248.74,TP,150.0,1.5
2,gravestone_doji,SELL,4248.77,4243.410000000001,4246.8,TP,197.0,1.97
3,gravestone_doji,SELL,4237.88,4234.74,4237.06,TP,82.0,0.82
4,dragonfly_doji,BUY,4240.36,4242.75,4242.48,TP,239.0,2.39
5,gravestone_doji,SELL,4242.34,4239.78,4241.21,TP,113.0,1.13
6,dragonfly_doji,BUY,4251.8,4255.3,4247.42,SL,-438.0,-4.38
7,gravestone_doji,SELL,4238.38,4232.72,4236.6,TP,178.0,1.78
8,gravestone_doji,SELL,4241.8,4234.76,4250.6,SL,-880.0,-8.8
9,dragonfly_doji,BUY,4255.17,4259.15,4257.61,TP,244.0,2.44
10,gravestone_doji,SELL,4259.5,4255.95,4257.96,TP,154.0,1.54
11,gravestone_doji,SELL,4260.57,4258.349999999999,4259.66,TP,91.0,0.91
12,dragonfly_doji,BUY,4265.8,4270.31,4268.05,TP,225.0,2.25
13,gravestone_doji,SELL,4266.86,4263.219999999999,4265.04,TP,182.0,1.8199999999999998
14,dragonfly_doji,BUY,4266.64,4270.030000000001,4270.26,TP,339.0,3.39
15,dragonfly_doji,BUY,4293.38,4297.650000000001,4294.7,TP,132.0,1.32
16,dragonfly_doji,BUY,4291.72,4296.38,4285.89,SL,-583.0,-5.83
17,gravestone_doji,SELL,4303.93,4299.650000000001,4309.280000000001,SL,-535.0,-5.35
18,dragonfly_doji,BUY,4350.2,4359.54,4355.26,TP,506.0,5.06
19,gravestone_doji,SELL,4350.3,4342.95,4359.49,SL,-919.0,-9.19
20,gravestone_doji,SELL,4354.6,4345.700000000001,4346.92,TP,768.0,7.68
21,gravestone_doji,SELL,4345.72,4335.4800000000005,4340.89,TP,483.0,4.83
22,dragonfly_doji,BUY,4338.92,4344.45,4332.0,SL,-692.0,-6.92
23,gravestone_doji,SELL,4336.44,4332.96,4340.79,SL,-435.0,-4.35
24,dragonfly_doji,BUY,4340.48,4343.879999999999,4342.73,TP,225.0,2.25
