id,direction,entry_price,tp_price,sl_price,result,pnl_points,profit_currency
1,buy,4248.92,4250.42,4249.69,tp,77.0,0.77
2,sell,4245.11,4242.0199999999995,4243.3,tp,181.0,1.81
3,buy,4242.33,4244.6,4238.93,sl,-340.0,-3.4
4,buy,4241.72,4244.110000000001,4242.48,tp,76.0,0.76
5,sell,4242.38,4239.86,4241.21,tp,117.0,1.17
6,sell,4241.41,4238.95,4240.69,tp,72.0,0.72
7,sell,4240.38,4238.27,4239.45,tp,93.0,0.93
8,sell,4239.61,4237.37,4242.969999999999,sl,-336.0,-3.36
9,sell,4242.18,4239.84,4241.24,tp,94.0,0.94
10,sell,4245.37,4243.96,4245.07,tp,30.0,0.3
11,sell,4247.26,4244.71,4246.48,tp,78.0,0.78
12,buy,4246.49,4248.94,4247.49,tp,100.0,1.0
13,buy,4247.29,4249.92,4247.91,tp,62.0,0.62
14,sell,4243.63,4240.09,4242.24,tp,139.0,1.3900000000000001
15,sell,4242.06,4237.81,4240.8,tp,126.0,1.26
16,sell,4238.63,4234.29,4236.09,tp,254.0,2.54
17,sell,4232.14,4227.740000000001,4230.06,tp,208.0,2.08
18,sell,4244.73,4239.759999999999,4242.37,tp,236.0,2.36
19,sell,4244.1,4239.150000000001,4242.37,tp,173.0,1.73
20,sell,4241.81,4235.01,4252.01,sl,-1020.0,-10.2
21,sell,4242.21,4236.2,4251.2300000000005,sl,-902.0,-9.02
22,buy,4258.83,4263.14,4260.28,tp,145.0,1.45
23,buy,4258.15,4261.089999999999,4260.02,tp,187.0,1.87
24,sell,4256.75,4253.75,4255.24,tp,151.0,1.51
25,buy,4254.67,4258.77,4248.52,sl,-615.0,-6.15
26,sell,4253.52,4248.67,4250.55,tp,297.0,2.9699999999999998
27,sell,4252.24,4247.65,4250.55,tp,169.0,1.69
28,buy,4255.57,4259.23,4257.61,tp,204.0,2.04
29,buy,4258.62,4262.3099999999995,4260.62,tp,200.0,2.0
30,buy,4260.82,4264.0599999999995,4265.13,tp,324.0,3.24
31,sell,4259.76,4257.39,4263.31,sl,-355.0,-3.55
32,buy,4260.61,4263.21,4261.52,tp,91.0,0.91
33,buy,4260.5,4262.84,4261.52,tp,102.0,1.02
34,buy,4266.19,4269.889999999999,4268.0,tp,181.0,1.81
35,sell,4267.32,4263.2699999999995,4265.04,tp,228.0,2.2800000000000002
36,sell,4263.39,4259.84,4261.12,tp,227.0,2.27
37,sell,4262.71,4259.58,4267.41,sl,-470.0,-4.7
38,buy,4267.21,4269.54,4263.72,sl,-349.0,-3.49
39,buy,4264.59,4267.9400000000005,4266.74,tp,215.0,2.15
40,buy,4269.69,4274.179999999999,4271.17,tp,148.0,1.48
41,sell,4268.57,4264.17,4267.17,tp,140.0,1.4
42,sell,4266.67,4262.85,4265.1,tp,157.0,1.5699999999999998
43,sell,4266.09,4262.89,4265.1,tp,99.0,0.99
44,buy,4266.64,4269.780000000001,4270.26,tp,314.0,3.14
45,buy,4272.39,4277.12,4274.57,tp,218.0,2.18
46,buy,4280.16,4285.4,4282.44,tp,228.0,2.2800000000000002
47,buy,4282.89,4287.51,4285.22,tp,233.0,2.33
48,buy,4287.39,4292.860000000001,4290.07,tp,268.0,2.68
49,buy,4292.22,4297.06,4284.96,sl,-726.0,-7.26
50,sell,4290.0,4285.81,4288.21,tp,179.0,1.79
51,buy,4286.51,4290.55,4288.39,tp,188.0,1.88
52,sell,4285.7,4281.76,4284.17,tp,153.0,1.53
53,buy,4285.13,4289.1,4286.43,tp,130.0,1.3
54,buy,4290.99,4294.86,4292.47,tp,148.0,1.48
55,buy,4296.07,4299.849999999999,4299.89,tp,378.0,3.7800000000000002
