id,pattern,direction,entry_price,tp_price,sl_price,result,pnl_points,profit_currency
1,Hammer,BUY,4054.9,4056.4,4052.9,SL,-200.0,-4.0
2,Hammer,BUY,4055.94,4057.44,4053.94,TP,150.0,3.0
3,Hammer,BUY,4092.08,4093.58,4090.08,TP,150.0,3.0
4,Hammer,BUY,4091.6,4093.1,4089.6,SL,-200.0,-4.0
5,Hammer,BUY,4077.19,4078.69,4075.19,SL,-200.0,-4.0
6,Hammer,BUY,4082.4,4083.9,4080.4,SL,-200.0,-4.0
7,Hammer,BUY,4066.65,4068.15,4064.65,SL,-200.0,-4.0
8,Hammer,BUY,4065.3,4066.8,4063.3,SL,-200.0,-4.0
9,Hammer,BUY,4048.77,4050.27,4046.77,SL,-200.0,-4.0
10,Hammer,BUY,4046.42,4047.92,4044.42,TP,150.0,3.0
11,Hammer,BUY,4037.4,4038.9,4035.4,TP,150.0,3.0
12,Hammer,BUY,4022.15,4023.65,4020.15,TP,150.0,3.0
13,Hammer,BUY,4027.96,4029.46,4025.96,TP,150.0,3.0
14,Hammer,BUY,4017.48,4018.98,4015.48,TP,150.0,3.0
15,Hammer,BUY,4029.54,4031.04,4027.54,SL,-200.0,-4.0
16,Hammer,BUY,4023.18,4024.68,4021.18,TP,150.0,3.0
17,Hammer,BUY,4026.67,4028.17,4024.67,TP,150.0,3.0
18,Hammer,BUY,4023.14,4024.64,4021.14,SL,-200.0,-4.0
19,Hammer,BUY,4022.12,4023.62,4020.12,TP,150.0,3.0
20,Hammer,BUY,4037.58,4039.08,4035.58,TP,150.0,3.0
21,Hammer,BUY,4032.42,4033.92,4030.42,SL,-200.0,-4.0
22,Hammer,BUY,4007.13,4008.63,4005.13,SL,-200.0,-4.0
23,Hammer,BUY,4082.35,4083.85,4080.35,SL,-200.0,-4.0
24,Hammer,BUY,4082.87,4084.37,4080.87,SL,-200.0,-4.0
25,Hammer,BUY,4045.02,4046.52,4043.02,SL,-200.0,-4.0
26,Hammer,BUY,4045.3,4046.8,4043.3,SL,-200.0,-4.0
27,Hammer,BUY,4076.23,4077.73,4074.23,TP,150.0,3.0
28,Hammer,BUY,4093.29,4094.79,4091.29,SL,-200.0,-4.0
29,Hammer,BUY,4076.83,4078.33,4074.83,TP,150.0,3.0
30,Hammer,BUY,4075.54,4077.04,4073.54,SL,-200.0,-4.0
31,Hammer,BUY,4075.8,4077.3,4073.8,SL,-200.0,-4.0
32,Hammer,BUY,4078.82,4080.32,4076.82,SL,-200.0,-4.0
33,Hammer,BUY,4078.09,4079.59,4076.09,SL,-200.0,-4.0
34,Hammer,BUY,4051.2,4052.7,4049.2,SL,-200.0,-4.0
35,Hammer,BUY,4049.67,4051.17,4047.67,SL,-200.0,-4.0
36,Hammer,BUY,4048.26,4049.76,4046.26,TP,150.0,3.0
37,Hammer,BUY,4053.72,4055.22,4051.72,TP,150.0,3.0
38,Hammer,BUY,4061.55,4063.05,4059.55,TP,150.0,3.0
39,Hammer,BUY,4056.55,4058.05,4054.55,TP,150.0,3.0
40,Hammer,BUY,4052.65,4054.15,4050.65,SL,-200.0,-4.0
41,Hammer,BUY,4048.63,4050.13,4046.63,TP,150.0,3.0
42,Hammer,BUY,4049.3,4050.8,4047.3,TP,150.0,3.0
43,Hammer,BUY,4051.81,4053.31,4049.81,TP,150.0,3.0
44,Hammer,BUY,4052.23,4053.73,4050.23,TP,150.0,3.0
45,Hammer,BUY,4051.55,4053.05,4049.55,TP,150.0,3.0
46,Hammer,BUY,4063.35,4064.85,4061.35,SL,-200.0,-4.0
47,Hammer,BUY,4093.95,4095.45,4091.95,TP,150.0,3.0
48,Hammer,BUY,4088.95,4090.45,4086.95,SL,-200.0,-4.0
49,Hammer,BUY,4158.37,4159.87,4156.37,SL,-200.0,-4.0
50,Hammer,BUY,4156.42,4157.92,4154.42,TP,150.0,3.0
51,Hammer,BUY,4243.55,4245.05,4241.55,SL,-200.0,-4.0
52,Hammer,BUY,4283.43,4284.93,4281.43,TP,150.0,3.0
53,Hammer,BUY,4285.92,4287.42,4283.92,SL,-200.0,-4.0
54,Hammer,BUY,4266.41,4267.91,4264.41,SL,-200.0,-4.0
55,Hammer,BUY,4263.16,4264.66,4261.16,TP,150.0,3.0
56,Hammer,BUY,4259.63,4261.13,4257.63,SL,-200.0,-4.0
57,Hammer,BUY,4260.1,4261.6,4258.1,SL,-200.0,-4.0
58,Hammer,BUY,4257.76,4259.26,4255.76,SL,-200.0,-4.0
59,Hammer,BUY,4269.1,4270.6,4267.1,TP,150.0,3.0
60,Hammer,BUY,4257.33,4258.83,4255.33,TP,150.0,3.0
61,Hammer,BUY,4261.78,4263.28,4259.78,TP,150.0,3.0
62,Hammer,BUY,4234.78,4236.28,4232.78,TP,150.0,3.0
63,Hammer,BUY,4232.96,4234.46,4230.96,TP,150.0,3.0
64,Hammer,BUY,4319.39,4320.89,4317.39,TP,150.0,3.0
65,Hammer,BUY,4347.47,4348.97,4345.47,TP,150.0,3.0
66,Hammer,BUY,4337.77,4339.27,4335.77,TP,150.0,3.0
67,Hammer,BUY,4338.99,4340.49,4336.99,TP,150.0,3.0
68,Hammer,BUY,4335.67,4337.17,4333.67,TP,150.0,3.0
69,Hammer,BUY,4342.62,4344.12,4340.62,SL,-200.0,-4.0
70,Hammer,BUY,4337.52,4339.02,4335.52,TP,150.0,3.0
