id,pattern,direction,entry_price,tp_price,sl_price,result,pnl_points,profit_currency
1,shooting_star,SELL,4239.47,4237.97,4241.97,TP,150.0,750.0
2,hammer,BUY,4237.95,4239.45,4235.45,TP,150.0,750.0
3,hammer,BUY,4238.01,4239.51,4235.51,TP,150.0,750.0
4,hammer,BUY,4237.6,4239.1,4235.1,TP,150.0,750.0
5,hammer,BUY,4233.28,4234.78,4230.78,TP,150.0,750.0
6,hammer,BUY,4234.51,4236.01,4232.01,SL,-250.0,-1250.0
7,shooting_star,SELL,4240.97,4239.47,4243.47,SL,-250.0,-1250.0
8,hammer,BUY,4242.52,4244.02,4240.02,TP,150.0,750.0
9,hammer,BUY,4244.58,4246.08,4242.08,TP,150.0,750.0
10,shooting_star,SELL,4253.4,4251.9,4255.9,SL,-250.0,-1250.0
11,hammer,BUY,4253.89,4255.39,4251.39,SL,-250.0,-1250.0
12,hammer,BUY,4255.4,4256.9,4252.9,SL,-250.0,-1250.0
13,hammer,BUY,4263.44,4264.94,4260.94,TP,150.0,750.0
14,shooting_star,SELL,4268.74,4267.24,4271.24,SL,-250.0,-1250.0
15,shooting_star,SELL,4287.84,4286.34,4290.34,TP,150.0,750.0
16,hammer,BUY,4286.94,4288.44,4284.44,SL,-250.0,-1250.0
17,hammer,BUY,4282.7,4284.2,4280.2,TP,150.0,750.0
18,hammer,BUY,4291.63,4293.13,4289.13,SL,-250.0,-1250.0
19,shooting_star,SELL,4291.29,4289.79,4293.79,TP,150.0,750.0
20,shooting_star,SELL,4299.37,4297.87,4301.87,TP,150.0,750.0
21,hammer,BUY,4294.87,4296.37,4292.37,TP,150.0,750.0
22,shooting_star,SELL,4305.76,4304.26,4308.26,SL,-250.0,-1250.0
23,hammer,BUY,4314.74,4316.24,4312.24,SL,-250.0,-1250.0
24,shooting_star,SELL,4316.76,4315.26,4319.26,SL,-250.0,-1250.0
25,shooting_star,SELL,4319.37,4317.87,4321.87,SL,-250.0,-1250.0
26,hammer,BUY,4319.62,4321.12,4317.12,SL,-250.0,-1250.0
27,shooting_star,SELL,4323.94,4322.44,4326.44,SL,-250.0,-1250.0
28,shooting_star,SELL,4326.19,4324.69,4328.69,TP,150.0,750.0
29,shooting_star,SELL,4314.38,4312.88,4316.88,TP,150.0,750.0
30,hammer,BUY,4350.9,4352.4,4348.4,TP,150.0,750.0
31,hammer,BUY,4348.84,4350.34,4346.34,SL,-250.0,-1250.0
32,shooting_star,SELL,4350.3,4348.8,4352.8,TP,150.0,750.0
33,hammer,BUY,4356.5,4358.0,4354.0,TP,150.0,750.0
34,shooting_star,SELL,4348.55,4347.05,4351.05,TP,150.0,750.0
35,hammer,BUY,4340.42,4341.92,4337.92,TP,150.0,750.0
36,hammer,BUY,4338.54,4340.04,4336.04,TP,150.0,750.0
37,hammer,BUY,4335.39,4336.89,4332.89,TP,150.0,750.0
38,hammer,BUY,4332.41,4333.91,4329.91,TP,150.0,750.0
39,hammer,BUY,4337.88,4339.38,4335.38,SL,-250.0,-1250.0
40,shooting_star,SELL,4337.07,4335.57,4339.57,TP,150.0,750.0
41,shooting_star,SELL,4336.78,4335.28,4339.28,TP,150.0,750.0
42,hammer,BUY,4335.46,4336.96,4332.96,TP,150.0,750.0
43,shooting_star,SELL,4347.8,4346.3,4350.3,SL,-250.0,-1250.0
44,hammer,BUY,4346.54,4348.04,4344.04,TP,150.0,750.0
45,shooting_star,SELL,4347.77,4346.27,4350.27,TP,150.0,750.0
46,hammer,BUY,4339.53,4341.03,4337.03,SL,-250.0,-1250.0
47,hammer,BUY,4341.26,4342.76,4338.76,open_end,4.0,20.0
48,hammer,BUY,4340.39,4341.89,4337.89,open_end,91.0,455.0
