id,pattern,direction,entry_price,tp_price,sl_price,result,pnl_points,profit_currency
1,Evening Star,SELL,4246.84,4243.34,4245.56,TP,128.0,1.28
2,Morning Star,BUY,4244.24,4247.28,4239.679999999999,SL,-456.0,-4.5600000000000005
3,Morning Star,BUY,4240.92,4243.61,4241.5,TP,58.0,0.58
4,Evening Star,SELL,4240.93,4238.6900000000005,4240.09,TP,84.0,0.84
5,Morning Star,BUY,4242.34,4244.900000000001,4242.92,TP,58.0,0.58
6,Evening Star,SELL,4240.81,4238.700000000001,4240.41,TP,40.0,0.4
7,Morning Star,BUY,4243.97,4246.54,4244.82,TP,85.0,0.85
8,Evening Star,SELL,4247.68,4245.13,4246.48,TP,120.0,1.2
9,Evening Star,SELL,4250.45,4247.0599999999995,4249.42,TP,103.0,1.03
10,Morning Star,BUY,4242.25,4246.29,4245.16,TP,291.0,2.91
11,Evening Star,SELL,4240.81,4235.6900000000005,4235.86,TP,512.0,5.12
12,Evening Star,SELL,4235.53,4229.73,4233.45,TP,208.0,2.08
13,Evening Star,SELL,4243.89,4237.070000000001,4241.44,TP,245.0,2.45
14,Morning Star,BUY,4258.77,4262.540000000001,4260.63,TP,186.0,1.8599999999999999
15,Morning Star,BUY,4253.3,4256.7300000000005,4254.26,TP,96.0,0.96
16,Evening Star,SELL,4257.62,4253.32,4253.28,TP,430.0,4.3
17,Evening Star,SELL,4256.47,4252.280000000001,4254.88,TP,159.0,1.5899999999999999
18,Morning Star,BUY,4253.9,4257.5599999999995,4255.12,TP,122.0,1.22
19,Morning Star,BUY,4263.44,4267.379999999999,4267.44,TP,394.0,3.94
20,Evening Star,SELL,4266.75,4262.91,4264.37,TP,238.0,2.38
21,Evening Star,SELL,4268.08,4264.03,4266.29,TP,179.0,1.79
22,Morning Star,BUY,4263.66,4267.67,4265.34,TP,168.0,1.6800000000000002
23,Morning Star,BUY,4264.15,4266.71,4266.16,TP,201.0,2.01
24,Morning Star,BUY,4267.45,4271.139999999999,4269.97,TP,252.0,2.52
25,Morning Star,BUY,4278.79,4284.18,4282.44,TP,365.0,3.65
26,Morning Star,BUY,4282.06,4286.68,4283.55,TP,149.0,1.49
27,Morning Star,BUY,4282.74,4287.62,4286.62,TP,388.0,3.88
28,Morning Star,BUY,4286.28,4290.99,4292.34,TP,471.0,4.71
29,Morning Star,BUY,4290.79,4295.26,4294.28,TP,349.0,3.49
30,Morning Star,BUY,4294.08,4298.47,4297.24,TP,316.0,3.16
31,Morning Star,BUY,4293.62,4298.3,4286.59,SL,-703.0,-7.03
32,Morning Star,BUY,4291.45,4296.29,4284.19,SL,-726.0,-7.26
33,Evening Star,SELL,4291.66,4287.47,4290.07,TP,159.0,1.5899999999999999
34,Morning Star,BUY,4285.19,4288.889999999999,4286.41,TP,122.0,1.22
35,Morning Star,BUY,4289.5,4293.6,4290.82,TP,132.0,1.32
36,Evening Star,SELL,4292.94,4289.37,4298.29,SL,-535.0,-5.35
37,Morning Star,BUY,4294.51,4298.29,4295.91,TP,140.0,1.4
38,Morning Star,BUY,4306.35,4310.6900000000005,4307.63,TP,128.0,1.28
39,Morning Star,BUY,4304.28,4308.7699999999995,4307.63,TP,335.0,3.35
40,Morning Star,BUY,4305.53,4309.259999999999,4306.89,TP,136.0,1.3599999999999999
41,Morning Star,BUY,4305.81,4309.2300000000005,4306.84,TP,103.0,1.03
42,Morning Star,BUY,4316.5,4321.38,4318.61,TP,211.0,2.11
43,Morning Star,BUY,4312.88,4316.74,4314.19,TP,131.0,1.31
44,Morning Star,BUY,4316.09,4319.77,4317.69,TP,160.0,1.6
45,Evening Star,SELL,4319.36,4315.87,4317.87,TP,149.0,1.49
46,Morning Star,BUY,4316.81,4320.5,4320.32,TP,369.0,3.69
47,Morning Star,BUY,4318.57,4323.08,4323.37,TP,451.0,4.51
48,Morning Star,BUY,4322.21,4327.17,4325.09,TP,288.0,2.88
49,Morning Star,BUY,4324.96,4329.52,4327.41,TP,245.0,2.45
50,Evening Star,SELL,4323.22,4317.89,4317.5,TP,533.0,5.33
51,Morning Star,BUY,4316.02,4321.85,4321.06,TP,504.0,5.04
52,Morning Star,BUY,4312.91,4319.05,4316.55,TP,364.0,3.64
53,Morning Star,BUY,4340.88,4348.85,4350.28,TP,797.0,7.97
54,Evening Star,SELL,4350.55,4343.01,4347.86,TP,269.0,2.69
55,Evening Star,SELL,4356.42,4348.03,4351.55,TP,487.0,4.87
56,Morning Star,BUY,4354.69,4362.799999999999,4342.5199999999995,SL,-1217.0,-12.17
57,Evening Star,SELL,4348.02,4339.13,4339.07,TP,889.0,8.89
58,Morning Star,BUY,4345.63,4352.74,4349.1,TP,347.0,3.4699999999999998
59,Morning Star,BUY,4348.86,4356.88,4355.69,TP,683.0,6.83
60,Morning Star,BUY,4349.74,4354.86,4352.03,TP,229.0,2.29
